"Diseases & Risk Factors","Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2006","Nepal","South-East Asia Region","Males","","19.11857","12.00047","28.15988","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2006","Nepal","South-East Asia Region","Females","","18.47658","11.19541","27.52875","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2007","Nepal","South-East Asia Region","Total","","18.99263","11.76953","27.99197","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2007","Nepal","South-East Asia Region","Males","","19.3348","12.22145","28.27153","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2007","Nepal","South-East Asia Region","Females","","18.64905","11.31385","27.71284","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2008","Nepal","South-East Asia Region","Total","","19.42588","12.07443","28.51427","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2008","Nepal","South-East Asia Region","Males","","20.014","12.70097","29.06509","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2008","Nepal","South-East Asia Region","Females","","18.83426","11.4411","27.96282","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2009","Nepal","South-East Asia Region","Total","","19.98541","12.4504","29.21971","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2009","Nepal","South-East Asia Region","Males","","20.91253","13.34548","30.15369","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2009","Nepal","South-East Asia Region","Females","","19.05534","11.55078","28.28296","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2010","Nepal","South-East Asia Region","Total","","20.22418","12.60544","29.52791","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2010","Nepal","South-East Asia Region","Males","","21.22501","13.56156","30.57233","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2010","Nepal","South-East Asia Region","Females","","19.23766","11.66045","28.49814","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2011","Nepal","South-East Asia Region","Total","","20.76559","12.96853","30.23096","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2011","Nepal","South-East Asia Region","Males","","22.17256","14.24364","31.75101","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2011","Nepal","South-East Asia Region","Females","","19.38559","11.71819","28.73308","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2012","Nepal","South-East Asia Region","Total","","21.09491","13.20088","30.70186","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2012","Nepal","South-East Asia Region","Males","","22.74066","14.68613","32.5071","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2012","Nepal","South-East Asia Region","Females","","19.50321","11.76674","28.94457","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2013","Nepal","South-East Asia Region","Total","","21.25206","13.21425","31.06666","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2013","Nepal","South-East Asia Region","Males","","23.11918","14.86702","33.13707","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2013","Nepal","South-East Asia Region","Females","","19.47827","11.64916","29.08128","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2014","Nepal","South-East Asia Region","Total","","21.46535","13.26721","31.5269","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2014","Nepal","South-East Asia Region","Males","","23.53281","15.0338","33.83207","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2014","Nepal","South-East Asia Region","Females","","19.52629","11.61708","29.34108","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2015","Nepal","South-East Asia Region","Total","","21.48899","13.21139","31.68353","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2015","Nepal","South-East Asia Region","Males","","23.57365","14.99457","34.02682","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2015","Nepal","South-East Asia Region","Females","","19.54397","11.55437","29.47043","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2016","Nepal","South-East Asia Region","Total","","21.33718","13.03081","31.60064","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2016","Nepal","South-East Asia Region","Males","","23.41688","14.80059","33.94337","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2016","Nepal","South-East Asia Region","Females","","19.42182","11.4094","29.41322","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2017","Nepal","South-East Asia Region","Total","","21.37138","12.99611","31.72172","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2017","Nepal","South-East Asia Region","Males","","23.56911","14.82098","34.21391","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2017","Nepal","South-East Asia Region","Females","","19.35171","11.32875","29.39602","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2018","Nepal","South-East Asia Region","Total","","21.50965","12.99261","31.97576","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2018","Nepal","South-East Asia Region","Males","","23.82299","14.89919","34.59235","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2018","Nepal","South-East Asia Region","Females","","19.37358","11.24529","29.52052","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2019","Nepal","South-East Asia Region","Total","","21.50248","12.90823","31.99061","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2019","Nepal","South-East Asia Region","Males","","23.85853","14.85228","34.6354","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2019","Nepal","South-East Asia Region","Females","","19.31664","11.12188","29.49392","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2000","Nepal","South-East Asia Region","Total","","33.9406225","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2000","Nepal","South-East Asia Region","Males","","29.1583795","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2000","Nepal","South-East Asia Region","Females","","38.9761841","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2001","Nepal","South-East Asia Region","Total","","35.2861736","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2001","Nepal","South-East Asia Region","Males","","30.516876","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2001","Nepal","South-East Asia Region","Females","","40.3235042","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2002","Nepal","South-East Asia Region","Total","","36.0853812","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2002","Nepal","South-East Asia Region","Males","","31.0635017","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2002","Nepal","South-East Asia Region","Females","","41.5116579","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2003","Nepal","South-East Asia Region","Total","","38.9021251","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2003","Nepal","South-East Asia Region","Males","","34.2324454","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2003","Nepal","South-East Asia Region","Females","","43.9162022","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2004","Nepal","South-East Asia Region","Total","","40.1738249","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2004","Nepal","South-East Asia Region","Males","","35.797019","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2004","Nepal","South-East Asia Region","Females","","44.9868709","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2005","Nepal","South-East Asia Region","Total","","43.2626051","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2005","Nepal","South-East Asia Region","Males","","39.2257771","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2005","Nepal","South-East Asia Region","Females","","47.752645","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2006","Nepal","South-East Asia Region","Total","","45.7199628","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2006","Nepal","South-East Asia Region","Males","","42.2229244","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2006","Nepal","South-East Asia Region","Females","","49.6709942","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2007","Nepal","South-East Asia Region","Total","","47.7882324","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2007","Nepal","South-East Asia Region","Males","","44.5592474","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2007","Nepal","South-East Asia Region","Females","","51.488882","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2008","Nepal","South-East Asia Region","Total","","50.0437459","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2008","Nepal","South-East Asia Region","Males","","47.1609435","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2008","Nepal","South-East Asia Region","Females","","53.4153597","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2009","Nepal","South-East Asia Region","Total","","52.5247744","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2009","Nepal","South-East Asia Region","Males","","50.0471446","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2009","Nepal","South-East Asia Region","Females","","55.4701896","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2010","Nepal","South-East Asia Region","Total","","54.214885","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2010","Nepal","South-East Asia Region","Males","","51.80375","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2010","Nepal","South-East Asia Region","Females","","57.0961858","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2011","Nepal","South-East Asia Region","Total","","56.5388508","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2011","Nepal","South-East Asia Region","Males","","54.4029292","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2011","Nepal","South-East Asia Region","Females","","59.107679","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2012","Nepal","South-East Asia Region","Total","","58.4933798","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2012","Nepal","South-East Asia Region","Males","","56.4308992","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2012","Nepal","South-East Asia Region","Females","","60.9550624","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2013","Nepal","South-East Asia Region","Total","","60.0664179","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2013","Nepal","South-East Asia Region","Males","","57.9459867","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2013","Nepal","South-East Asia Region","Females","","62.5665884","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2014","Nepal","South-East Asia Region","Total","","61.6424712","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2014","Nepal","South-East Asia Region","Males","","59.4738373","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2014","Nepal","South-East Asia Region","Females","","64.1597361","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2015","Nepal","South-East Asia Region","Total","","59.8492421","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2015","Nepal","South-East Asia Region","Males","","57.4220485","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2015","Nepal","South-East Asia Region","Females","","62.642095","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2016","Nepal","South-East Asia Region","Total","","63.2720139","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2016","Nepal","South-East Asia Region","Males","","60.6401714","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2016","Nepal","South-East Asia Region","Females","","66.2334811","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2017","Nepal","South-East Asia Region","Total","","64.400891","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2017","Nepal","South-East Asia Region","Males","","61.7583162","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2017","Nepal","South-East Asia Region","Females","","67.3459039","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2018","Nepal","South-East Asia Region","Total","","65.622593","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2018","Nepal","South-East Asia Region","Males","","62.9744245","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2018","Nepal","South-East Asia Region","Females","","68.5658991","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2019","Nepal","South-East Asia Region","Total","","66.4573217","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2019","Nepal","South-East Asia Region","Males","","63.7644598","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2019","Nepal","South-East Asia Region","Females","","69.4481986","no data","no data","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2000","Nepal","South-East Asia Region","Total","","61.49091","44.78523","73.99397","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2000","Nepal","South-East Asia Region","Males","","69.34887","53.88141","80.15308","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2000","Nepal","South-East Asia Region","Females","","55.30092","38.20122","68.75662","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2001","Nepal","South-East Asia Region","Total","","59.62412","43.06909","72.36261","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2001","Nepal","South-East Asia Region","Males","","67.45992","51.79844","78.68036","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2001","Nepal","South-East Asia Region","Females","","53.36071","36.67316","66.89089","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2002","Nepal","South-East Asia Region","Total","","57.45395","40.87015","70.58183","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2002","Nepal","South-East Asia Region","Males","","63.64503","47.36606","75.82139","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2002","Nepal","South-East Asia Region","Females","","52.44805","35.98635","66.0314","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2003","Nepal","South-East Asia Region","Total","","55.82494","39.51333","69.01366","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2003","Nepal","South-East Asia Region","Males","","61.33983","45.09379","73.8107","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2003","Nepal","South-East Asia Region","Females","","51.20906","35.14158","64.72908","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2004","Nepal","South-East Asia Region","Total","","55.11468","39.02202","68.22963","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2004","Nepal","South-East Asia Region","Males","","60.22641","44.08978","72.71799","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2004","Nepal","South-East Asia Region","Females","","50.64175","34.8587","64.06053","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2005","Nepal","South-East Asia Region","Total","","54.92439","38.9072","67.99126","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2005","Nepal","South-East Asia Region","Males","","59.2372","43.16711","71.78385","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2005","Nepal","South-East Asia Region","Females","","50.98396","35.2177","64.35042","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2006","Nepal","South-East Asia Region","Total","","53.74147","37.99112","66.74072","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2006","Nepal","South-East Asia Region","Males","","57.33483","41.53509","69.9252","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2006","Nepal","South-East Asia Region","Females","","50.29037","34.72977","63.56019","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2007","Nepal","South-East Asia Region","Total","","52.78185","37.25576","65.66689","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2007","Nepal","South-East Asia Region","Males","","55.40899","39.86284","68.00594","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2007","Nepal","South-East Asia Region","Females","","50.17617","34.7446","63.28419","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2008","Nepal","South-East Asia Region","Total","","52.26141","36.90561","65.01894","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2008","Nepal","South-East Asia Region","Males","","54.1769","38.83232","66.67869","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2008","Nepal","South-East Asia Region","Females","","50.28343","34.95566","63.27806","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2009","Nepal","South-East Asia Region","Total","","52.28189","37.0596","64.87783","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2009","Nepal","South-East Asia Region","Males","","53.71427","38.6183","66.03485","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2009","Nepal","South-East Asia Region","Females","","50.74553","35.40631","63.62903","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2010","Nepal","South-East Asia Region","Total","","52.22719","37.0967","64.70995","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2010","Nepal","South-East Asia Region","Males","","53.12967","38.17712","65.40808","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2010","Nepal","South-East Asia Region","Females","","51.2487","35.92953","63.95158","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2011","Nepal","South-East Asia Region","Total","","51.04747","36.09165","63.52237","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2011","Nepal","South-East Asia Region","Males","","51.68196","37.02153","63.91374","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2011","Nepal","South-East Asia Region","Females","","50.34512","35.05881","63.0912","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2012","Nepal","South-East Asia Region","Total","","49.94711","35.16301","62.4585","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2012","Nepal","South-East Asia Region","Males","","50.43874","36.03136","62.69178","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2012","Nepal","South-East Asia Region","Females","","49.40389","34.19617","62.2027","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2013","Nepal","South-East Asia Region","Total","","49.05206","34.25965","61.71745","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2013","Nepal","South-East Asia Region","Males","","49.39711","35.06173","61.78074","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2013","Nepal","South-East Asia Region","Females","","48.67527","33.37363","61.64907","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2014","Nepal","South-East Asia Region","Total","","48.46854","33.66686","61.23947","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2014","Nepal","South-East Asia Region","Males","","48.72881","34.41477","61.1985","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2014","Nepal","South-East Asia Region","Females","","48.1885","32.85154","61.283","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2015","Nepal","South-East Asia Region","Total","","48.2153","33.39889","61.06116","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2015","Nepal","South-East Asia Region","Males","","48.40508","34.14605","60.94839","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2015","Nepal","South-East Asia Region","Females","","48.01513","32.59835","61.17852","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2016","Nepal","South-East Asia Region","Total","","47.29566","32.48356","60.25289","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2016","Nepal","South-East Asia Region","Males","","47.47559","33.21906","60.11546","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2016","Nepal","South-East Asia Region","Females","","47.11029","31.71411","60.39253","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2017","Nepal","South-East Asia Region","Total","","46.80657","31.99728","59.81899","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2017","Nepal","South-East Asia Region","Males","","47.10446","32.84819","59.76888","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2017","Nepal","South-East Asia Region","Females","","46.50212","31.11526","59.86949","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2018","Nepal","South-East Asia Region","Total","","46.69278","31.81313","59.7291","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2018","Nepal","South-East Asia Region","Males","","47.11602","32.79658","59.78291","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2018","Nepal","South-East Asia Region","Females","","46.26074","30.79577","59.6749","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2019","Nepal","South-East Asia Region","Total","","46.711","31.72393","59.76742","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2019","Nepal","South-East Asia Region","Males","","47.23076","32.81333","59.8894","",
"Noncommunicable diseases","Percentage of NCD deaths occurring under 70 years","","2019","Nepal","South-East Asia Region","Females","","46.18097","30.59875","59.64472","",
"Noncommunicable diseases","NCD age-standardized death rate","","2000","Nepal","South-East Asia Region","Total","","485.9063","no data","no data","",
"Noncommunicable diseases","NCD age-standardized death rate","","2000","Nepal","South-East Asia Region","Males","","459.4534","no data","no data","",
"Noncommunicable diseases","NCD age-standardized death rate","","2000","Nepal","South-East Asia Region","Females","","500.9671","no data","no data","",
"Noncommunicable diseases","NCD age-standardized death rate","","2010","Nepal","South-East Asia Region","Total","","554.8206","no data","no data","",
"Noncommunicable diseases","NCD age-standardized death rate","","2010","Nepal","South-East Asia Region","Males","","600.0223","no data","no data","",
"Noncommunicable diseases","NCD age-standardized death rate","","2010","Nepal","South-East Asia Region","Females","","515.1641","no data","no data","",
"Noncommunicable diseases","NCD age-standardized death rate","","2015","Nepal","South-East Asia Region","Total","","597.4412","no data","no data","",
"Noncommunicable diseases","NCD age-standardized death rate","","2015","Nepal","South-East Asia Region","Males","","662.8102","no data","no data","",
"Noncommunicable diseases","NCD age-standardized death rate","","2015","Nepal","South-East Asia Region","Females","","541.2856","no data","no data","",
"Noncommunicable diseases","NCD age-standardized death rate","","2019","Nepal","South-East Asia Region","Total","","602.6794","no data","no data","",
"Noncommunicable diseases","NCD age-standardized death rate","","2019","Nepal","South-East Asia Region","Males","","673.5441","no data","no data","",
"Noncommunicable diseases","NCD age-standardized death rate","","2019","Nepal","South-East Asia Region","Females","","543.5753","no data","no data","",
"Noncommunicable diseases","Total alcohol per capita consumption","","2000","Nepal","South-East Asia Region","Total","","0.2","0","0.71","",
"Noncommunicable diseases","Total alcohol per capita consumption","","2000","Nepal","South-East Asia Region","Males","","0.33","0","1.19","",
"Noncommunicable diseases","Total alcohol per capita consumption","","2000","Nepal","South-East Asia Region","Females","","0.064","0","0.23","",
"Noncommunicable diseases","Total alcohol per capita consumption","","2005","Nepal","South-East Asia Region","Total","","0.31","0","0.94","",
"Noncommunicable diseases","Total alcohol per capita consumption","","2005","Nepal","South-East Asia Region","Males","","0.53","0","1.59","",
"Noncommunicable diseases","Total alcohol per capita consumption","","2005","Nepal","South-East Asia Region","Females","","0.1","0","0.31","",
"Noncommunicable diseases","Total alcohol per capita consumption","","2010","Nepal","South-East Asia Region","Total","","0.95","0.17","2","",
"Noncommunicable diseases","Total alcohol per capita consumption","","2010","Nepal","South-East Asia Region","Males","","1.65","0.29","3.48","",
"Noncommunicable diseases","Total alcohol per capita consumption","","2010","Nepal","South-East Asia Region","Females","","0.32","0.057","0.69","",
"Noncommunicable diseases","Total alcohol per capita consumption","","2015","Nepal","South-East Asia Region","Total","","1.22","0.24","2.45","",
"Noncommunicable diseases","Total alcohol per capita consumption","","2015","Nepal","South-East Asia Region","Males","","2.14","0.41","4.33","",
"Noncommunicable diseases","Total alcohol per capita consumption","","2015","Nepal","South-East Asia Region","Females","","0.43","0.082","0.86","",
"Noncommunicable diseases","Total alcohol per capita consumption","","2019","Nepal","South-East Asia Region","Total","","1.36","0.3","2.66","",
"Noncommunicable diseases","Total alcohol per capita consumption","","2019","Nepal","South-East Asia Region","Males","","2.4","0.53","4.69","",
"Noncommunicable diseases","Total alcohol per capita consumption","","2019","Nepal","South-East Asia Region","Females","","0.48","0.11","0.94","",
"Noncommunicable diseases","Current tobacco use, adults aged 15+","","2000","Nepal","South-East Asia Region","Total","","64.7","55.6","73.8","",
"Noncommunicable diseases","Current tobacco use, adults aged 15+","","2000","Nepal","South-East Asia Region","Males","","74.2","61.6","86.8","",
